name,state,city,address,latitude,longitude,Charging Type,Supported Vehicle Types,access hours,Pricing Information,Amenities
TamTree,Maharashtra,pune,"Shop No.5, Pragati Bhavan, Behind Natural Ice Cream shop, Ghole Rd, near Bal Gandharva Chowk, Shivajinagar, Pune, Maharashtra ",18.5231567,73.8476929,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"Wifi, Parking"
Hotel Gangothri,Andra Pradesh,Kodikonda,"Kodikonda Checkpost (V), Chilamathur (Mandal), Anantapur Andhra pradesh 515601",13.83,77.74,DC Fast Charging,EV2,24-Jul,?7 k/Wh,Wifi
Exotikka Restaurant,Andra Pradesh,Ananthapur,"survey no- 155, NH44, beside TATA show room. Kakkala palli village Anantapur 515001.",14.65,77.58,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
"Ashutosh Motors, Lokhra",Assam,Guwahati,"NH-37, Chariali, Lokhra, Guwahati, Assam 781028",26.111365,91.746149,DC Fast Charging,EV2,24-Jul,?8 k/Wh,"Wifi, Parking"
"Sarawgi Motors, Saukuchi",Assam,Guwahati,"Sarusajai Stadium Garalia NH 37, Basistha, Saukuchi, near National Games Stadium, Assam 781040",26.111877,91.759799,AC Fast Charging,EV1,24-Jul,?9 k/Wh,Wifi
Tata Power ,Assam,Guwahati,"Ginger Hotel, Borbari, Ginger Hotel GuwahatiI HM Campus, VIP Road, Upper Hengrabari, Borbari, Guwahati 781036",26.1474785,91.8145291,DC Fast Charging,EV2,24-Jul,?10 k/Wh,Wifi
"Utkarsh Mototech, Assam Trunk Rd",Assam,Guwahati,"Kamakhya Gate, Swastik Ayodhya Complex, Assam Trunk Rd, Guwahati, Assam 781009",26.164406,91.715516,AC Fast Charging,EV1,24-Jul,?7 k/Wh,"No Wifi, No Parking"
"Ashutosh Motors, near NHPC Godown",Assam,Nagaon,"Biroh Bebejia Sensowa, near NHPC Godown, Nagaon, Assam 782002",26.3123315,92.6401864,DC Fast Charging,EV2,24-Jul,?8 k/Wh,Wifi
"Pragati Trading, NH 37",Assam,Jorhat,"NH37, Jorhat, Assam 785006",26.7470487,94.1680718,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
"DN Regalia Mall, Patrapada",Odisha,Bhubaneswar,"IDCO Plot No1/A, Bhagbanpur Industrial Estate, DN Square, Patrapada, Bhubhaneswar 751001",20.240903,85.758056,AC Fast Charging,EV1,24-Jul,?10 k/Wh,"Wifi, Parking"
"French Toast, Kacheripady",Kerala,kochi,"Chittoor Rd, near Westend Eye Hospital, Kacheripady, Kochi, Kerala ",9.9878416,76.2827333,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
Subway Aundh,Maharashtra,pune,"1 Samar Paradise, DP Rd, Aundh, Pune, Maharashtra 411007",18.56048188,73.80504099,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"Wifi, Parking"
"Sara Automobile, Dobhi",Bihar,Gaya,"Sara Automobile Pvt Ltd, Eicher agency,NH-2  Opp:  Punjab National Bank, Suramandal near check post, Dobhi,  Gaya  PIN u00e2u0080u0093 824201",24.525355,84.932182,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Parking
"Shankar Motors, Prem Nagar",Bihar,Bhagalpur,"Ground Floor, Sabour Rd, near Engineering College, Prem Nagar, Bhagalpur, Bihar 812002",25.2522094,87.0450289,DC Fast Charging,EV2,24-Jul,?10 k/Wh,Wifi
Tata Power ,Bihar,Purnea,"Shankar Motors, NH 31 Kishanganj Road, NH 31 Kishanganj Road, Damka, near Gulabbagh, Purnea, Bihar 854326",25.7952561,87.5593019,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"No Wifi, No Parking"
Food Sixteen Restaurant,Delhi,delhi,"Metro Station, A-16, Grand Trunk Rd, near Adarsh Nagar, Indira Nagar, Azadpur, New Delhi",28.7169145,77.168538,DC Fast Charging,EV2,24-Jul,?7 k/Wh,Wifi
IIT Madras (ICSR),Tamil Nadu,chennai,"Near Gajendra Circle, Opposite to Admin Building, Indian Institute Of Technology, Adyar, Chennai, Tamil Nadu ",12.9917014,80.232102,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
Atherspace Chennai,Tamil Nadu,chennai,"No.153, Wallace Garden 2nd St, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006",13.060965,80.248509,DC Fast Charging,EV2,24-Jul,?10 k/Wh,Wifi
"Sairam Automobiles, Krishna Nagar",Chattisgarh,Bhilai,"Sairam auto G. E Road, Krishna Nagar, Supela, Bhilai, Chhattisgarh 490023",21.2165392,81.401487,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
"BHASIN VENTURES, Telibandha",Chhattisgarh,Raipur,"NH-6, NEAR CHOKRA NALA, Labhandi Rd, opp. M.S. PETROL PUMP P.O, Ravigram, Telibandha, Raipur, Chhattisgarh 492006",21.2378172,81.6896148,DC Fast Charging,EV2,24-Jul,?9 k/Wh,Wifi
"Bahubali Motors, Transport Nagar",Chhattisgarh,Raipur,"Mumbai - Kolkata Hwy, Beside M.P Dhaba, Transport Nagar, Tatibandh, Raipur, Chhattisgarh 492099",21.2567897,81.5594445,AC Fast Charging,EV1,24-Jul,?10 k/Wh,"Wifi, Parking"
